



央视更新2025.7.7,#genre#
乌兰察布,http://123.207.224.130:123/neimeng/neimeng.php?id=wlcb1
乌海新闻综合,http://123.207.224.130:123/neimeng/neimeng.php?id=wh1
呼伦贝尔新闻综合,http://123.207.224.130:123/neimeng/neimeng.php?id=hlbe1
兴安新闻综合,http://123.207.224.130:123/neimeng/neimeng.php?id=xa1
包头新闻综合,http://123.207.224.130:123/neimeng/neimeng.php?id=bt1
伊金霍洛旗综合频道,http://123.207.224.130:123/neimeng/yijin.php


山东,#genre#
潍坊新闻综合,http://123.207.224.130:123/shandong/weifang.php?id=1
潍坊经济生活,http://123.207.224.130:123/shandong/weifang.php?id=5
潍坊影视综艺,http://123.207.224.130:123/shandong/weifang.php?id=7
潍坊科教文旅,http://123.207.224.130:123/shandong/weifang.php?id=9
济南新闻综合频道,http://123.207.224.130:123/shandong/jinan.php?id=1676
济南都市频道,http://123.207.224.130:123/shandong/jinan.php?id=1807
济南文旅体育频道,http://123.207.224.130:123/shandong/jinan.php?id=1842
济南生活频道,http://123.207.224.130:123/shandong/jinan.php?id=1855
济南少儿频道,http://123.207.224.130:123/shandong/jinan.php?id=2234
济南鲁中频道,http://123.207.224.130:123/shandong/jinan.php?id=1857
长清新闻,http://123.207.224.130:123/shandong/difang.php?id=jncqxw
济铁电视台,http://123.207.224.130:123/shandong/difang.php?id=jnjrtv
济阳综合,http://123.207.224.130:123/shandong/difang.php?id=jnjyzh

平阴综合,http://123.207.224.130:123/shandong/difang.php?id=jnpyzh
商河综合,http://123.207.224.130:123/shandong/difang.php?id=jnshzh
章丘综合,http://123.207.224.130:123/shandong/difang.php?id=jnzqzh
东营新闻综合,http://123.207.224.130:123/shandong/difang.php?id=dyxwzh
东营区新闻综合,http://123.207.224.130:123/shandong/difang.php?id=dydyqxw
广饶综合,http://123.207.224.130:123/shandong/difang.php?id=dygrzh
利津综合,http://123.207.224.130:123/shandong/difang.php?id=dyljzh
城阳综合,http://123.207.224.130:123/shandong/difang.php?id=qdcytv
即墨综合,http://123.207.224.130:123/shandong/difang.php?id=qdjmzh
胶州综合,http://123.207.224.130:123/shandong/difang.php?id=qdjzzh
李沧TV,http://123.207.224.130:123/shandong/difang.php?id=qdlc
崂山TV,http://123.207.224.130:123/shandong/difang.php?id=qdls
莱西综合,http://123.207.224.130:123/shandong/difang.php?id=qdlxzh
平度新闻综合,http://123.207.224.130:123/shandong/difang.php?id=qdpdxw
潍坊新闻综合,http://123.207.224.130:123/shandong/difang.php?id=wfxwzh
潍坊高新区,http://123.207.224.130:123/shandong/difang.php?id=wfgxq
安丘综合,http://123.207.224.130:123/shandong/difang.php?id=wfaqzh
滨海新闻综合,http://123.207.224.130:123/shandong/difang.php?id=wfbhxw
昌乐综合,http://123.207.224.130:123/shandong/difang.php?id=wfclzh
奎文电视台,http://123.207.224.130:123/shandong/difang.php?id=wfkwtv
潍城TV,http://123.207.224.130:123/shandong/difang.php?id=wfwc

长岛TV,http://123.207.224.130:123/shandong/difang.php?id=ytcd
海阳综合,http://123.207.224.130:123/shandong/difang.php?id=ythyzh
龙口综合,http://123.207.224.130:123/shandong/difang.php?id=ytlkzh
莱山综合,http://123.207.224.130:123/shandong/difang.php?id=ytlszh
莱阳综合,http://123.207.224.130:123/shandong/difang.php?id=ytlyzh
莱州综合,http://123.207.224.130:123/shandong/difang.php?id=ytlzzh
栖霞综合,http://123.207.224.130:123/shandong/difang.php?id=ytqxzh
招远综合,http://123.207.224.130:123/shandong/difang.php?id=ytzyzh
博山新闻,http://123.207.224.130:123/shandong/difang.php?id=zbbsxw
高青综合,http://123.207.224.130:123/shandong/difang.php?id=zbgqzh
桓台综合,http://123.207.224.130:123/shandong/difang.php?id=zbht1
沂源综合,http://123.207.224.130:123/shandong/difang.php?id=zbyyzh
淄川新闻,http://123.207.224.130:123/shandong/difang.php?id=zbzcxw
张店1,http://123.207.224.130:123/shandong/difang.php?id=zbzd1
薛城新闻综合,http://123.207.224.130:123/shandong/difang.php?id=zzxcxw
峄城综合,http://123.207.224.130:123/shandong/difang.php?id=zzyczh

惠民综合,http://123.207.224.130:123/shandong/difang.php?id=bzhmzh
无棣综合,http://123.207.224.130:123/shandong/difang.php?id=bzwdzh
阳信新闻综合,http://123.207.224.130:123/shandong/difang.php?id=bzyxxw
邹平综合,http://123.207.224.130:123/shandong/difang.php?id=bzzpzh
德州新闻综合,http://123.207.224.130:123/shandong/difang.php?id=dzxwzh

乐陵新闻综合,http://123.207.224.130:123/shandong/difang.php?id=dzllxw
临邑1,http://123.207.224.130:123/shandong/difang.php?id=dzly1
宁津综合,http://123.207.224.130:123/shandong/difang.php?id=dznjzh
庆云综合,http://123.207.224.130:123/shandong/difang.php?id=dzqyzh
武城综合,http://123.207.224.130:123/shandong/difang.php?id=dzwczh

禹城综合,http://123.207.224.130:123/shandong/difang.php?id=dzyczh
曹县综合,http://123.207.224.130:123/shandong/difang.php?id=hzcxzh
东明新闻综合,http://123.207.224.130:123/shandong/difang.php?id=hzdmxw
定陶新闻,http://123.207.224.130:123/shandong/difang.php?id=hzdt1
鄄城综合,http://123.207.224.130:123/shandong/difang.php?id=hzjczh
巨野新闻,http://123.207.224.130:123/shandong/difang.php?id=hzjyxw
牡丹区新闻综合,http://123.207.224.130:123/shandong/difang.php?id=hzmdxw

郓城新闻,http://123.207.224.130:123/shandong/difang.php?id=hzycxw

金乡综合,http://123.207.224.130:123/shandong/difang.php?id=jijxzh
梁山综合,http://123.207.224.130:123/shandong/difang.php?id=jilszh
曲阜新闻综合,http://123.207.224.130:123/shandong/difang.php?id=jiqfxw
任城新闻综合,http://123.207.224.130:123/shandong/difang.php?id=jircxw
泗水新闻综合,http://123.207.224.130:123/shandong/difang.php?id=jissxw
汶上综合,http://123.207.224.130:123/shandong/difang.php?id=jiwszh
鱼台新闻,http://123.207.224.130:123/shandong/difang.php?id=jiytxw
兖州新闻,http://123.207.224.130:123/shandong/difang.php?id=jiyzxw
邹城综合,http://123.207.224.130:123/shandong/difang.php?id=jizczh
茌平综合,http://123.207.224.130:123/shandong/difang.php?id=lccpzh
东昌综合,http://123.207.224.130:123/shandong/difang.php?id=lcdczh
高唐综合,http://123.207.224.130:123/shandong/difang.php?id=lcgtzh
冠县综合,http://123.207.224.130:123/shandong/difang.php?id=lcgxzh
临清综合,http://123.207.224.130:123/shandong/difang.php?id=lclqzh
莘县综合,http://123.207.224.130:123/shandong/difang.php?id=lcsxzh
阳谷综合,http://123.207.224.130:123/shandong/difang.php?id=lcygzh

河东综合,http://123.207.224.130:123/shandong/difang.php?id=lyhdzh

兰陵综合,http://123.207.224.130:123/shandong/difang.php?id=lyllzh
兰山综合,http://123.207.224.130:123/shandong/difang.php?id=lylszh
临沭综合,http://123.207.224.130:123/shandong/difang.php?id=lyls1
罗庄综合,http://123.207.224.130:123/shandong/difang.php?id=lylzzh
蒙阴综合,http://123.207.224.130:123/shandong/difang.php?id=lymy1
平邑综合,http://123.207.224.130:123/shandong/difang.php?id=lypyzh
郯城综合,http://123.207.224.130:123/shandong/difang.php?id=lytc1

沂水综合,http://123.207.224.130:123/shandong/difang.php?id=lyys1
莒县综合,http://123.207.224.130:123/shandong/difang.php?id=rzjx1
岚山TV,http://123.207.224.130:123/shandong/difang.php?id=rzls
五莲综合,http://123.207.224.130:123/shandong/difang.php?id=rzwlzh
东平综合,http://123.207.224.130:123/shandong/difang.php?id=tadpzh
岱岳TV,http://123.207.224.130:123/shandong/difang.php?id=tady

宁阳综合,http://123.207.224.130:123/shandong/difang.php?id=tany1
泰山TV,http://123.207.224.130:123/shandong/difang.php?id=tats
新泰综合,http://123.207.224.130:123/shandong/difang.php?id=taxtzh
威海新闻综合,http://123.207.224.130:123/shandong/difang.php?id=whxwzh
威海环翠综合,http://123.207.224.130:123/shandong/difang.php?id=whhczh
荣成综合,http://123.207.224.130:123/shandong/difang.php?id=whrczh
乳山综合,http://123.207.224.130:123/shandong/difang.php?id=whrszh







山西,#genre#
山西卫视,http://123.207.224.130:123/shanxi/shanxi.php?id=sxws
山西经济,http://123.207.224.130:123/shanxi/shanxi.php?id=sxjj
山西影视,http://123.207.224.130:123/shanxi/shanxi.php?id=sxys
山西社会与法治,http://123.207.224.130:123/shanxi/shanxi.php?id=sxshfz
山西文体生活,http://123.207.224.130:123/shanxi/shanxi.php?id=sxwtsh
山西黄河,http://123.207.224.130:123/shanxi/shanxi.php?id=sxhh
太原新闻综合,http://123.207.224.130:123/shanxi/shanxi.php?id=ty1
大同新闻综合,http://123.207.224.130:123/shanxi/shanxi.php?id=dt1
阳泉新闻综合,http://123.207.224.130:123/shanxi/shanxi.php?id=yq1
长治新闻综合,http://123.207.224.130:123/shanxi/shanxi.php?id=cz1
晋城新闻综合,http://123.207.224.130:123/shanxi/shanxi.php?id=jc1
